Country,Iso3,Who region,Month Start,Month Lab,Cases,Deaths
Andorra,AND,EURO,01/11/2023,Nov-23,0,0
Andorra,AND,EURO,01/12/2023,Dec-23,0,0
Andorra,AND,EURO,01/01/2024,Jan-24,0,0
Andorra,AND,EURO,01/02/2024,Feb-24,0,0
Andorra,AND,EURO,01/03/2024,Mar-24,0,0
Andorra,AND,EURO,01/04/2024,Apr-24,0,0
Andorra,AND,EURO,01/05/2024,May-24,0,0
Andorra,AND,EURO,01/06/2024,Jun-24,0,0
Andorra,AND,EURO,01/07/2024,Jul-24,0,0
Andorra,AND,EURO,01/08/2024,Aug-24,0,0
Andorra,AND,EURO,01/09/2024,Sep-24,0,0
Andorra,AND,EURO,01/10/2024,Oct-24,0,0
Argentina,ARG,AMRO,01/11/2023,Nov-23,3,0
Argentina,ARG,AMRO,01/12/2023,Dec-23,3,0
Argentina,ARG,AMRO,01/01/2024,Jan-24,1,0
Argentina,ARG,AMRO,01/02/2024,Feb-24,0,0
Argentina,ARG,AMRO,01/03/2024,Mar-24,0,0
Argentina,ARG,AMRO,01/04/2024,Apr-24,0,0
Argentina,ARG,AMRO,01/05/2024,May-24,0,0
Argentina,ARG,AMRO,01/06/2024,Jun-24,0,0
Argentina,ARG,AMRO,01/07/2024,Jul-24,5,0
Argentina,ARG,AMRO,01/08/2024,Aug-24,26,0
Argentina,ARG,AMRO,01/09/2024,Sep-24,40,0
Argentina,ARG,AMRO,01/10/2024,Oct-24,15,0
Aruba,ABW,AMRO,01/11/2023,Nov-23,0,0
Aruba,ABW,AMRO,01/12/2023,Dec-23,0,0
Aruba,ABW,AMRO,01/01/2024,Jan-24,0,0
Aruba,ABW,AMRO,01/02/2024,Feb-24,0,0
Aruba,ABW,AMRO,01/03/2024,Mar-24,0,0
Aruba,ABW,AMRO,01/04/2024,Apr-24,0,0
Aruba,ABW,AMRO,01/05/2024,May-24,0,0
Aruba,ABW,AMRO,01/06/2024,Jun-24,0,0
Aruba,ABW,AMRO,01/07/2024,Jul-24,0,0
Aruba,ABW,AMRO,01/08/2024,Aug-24,0,0
Aruba,ABW,AMRO,01/09/2024,Sep-24,0,0
Aruba,ABW,AMRO,01/10/2024,Oct-24,0,0
